Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,63,63,63,63,63,63,63,0.000%,15.87302,11.46,5.02
获取加密encpw,1,44,44,44,44,44,44,44,0.000%,22.72727,0.00,0.00
/app/member/id/login,1,84,84,84,84,84,84,84,0.000%,11.90476,13.32,8.10
/app/setup/getAlarmInfo,29111,128,107,236,324,433,14,517,0.000%,26.86034,17.67,28.47
/app/setup/localPushInfo,19529,199,151,406,467,606,24,813,0.000%,36.97820,21.61,36.61
/app/client/version/latest,15727,121,107,218,285,370,15,1076,0.000%,783.84171,582.64,779.73
/app/splashinfo,16759,115,86,165,212,270,20,9097,0.000%,830.43457,576.16,836.66
/app/system/setting,15433,124,106,211,286,429,11,575,0.000%,764.72920,317.39,767.41
/app/home/menus,370104,0,0,0,0,0,0,1,100.000%,18498.72545,22174.97,0.00
/app/home4,1380,1465,1363,2122,2398,2932,699,4345,0.000%,65.96874,2066.29,64.01
/app/title/list2,1023,2018,1888,3142,3755,5072,302,6698,0.000%,47.73459,37704.29,45.64
/app/promotionInfo,16293,121,100,168,208,307,22,3243,0.000%,751.07177,615.45,753.03
/app/home/menu/detail,14285,134,109,248,305,421,25,937,0.000%,710.16654,3524.60,706.36
/app/client/version,15401,125,104,186,235,379,16,3227,0.000%,766.25703,575.63,753.97
/app/episode/info/v3,3536,562,532,821,937,1169,151,2003,0.000%,173.61418,2094.80,175.05
/app/retention/episode/info,15550,124,114,177,225,285,27,437,0.000%,773.40097,308.30,786.65
/app/title/info2,13474,142,121,238,300,391,44,664,0.000%,670.38161,866.47,660.18
/app/title/recommend2,15121,127,112,200,238,323,31,612,0.000%,752.66302,380.25,742.07
/app/ppl/info,15992,119,104,207,256,352,14,3109,0.000%,796.69207,317.54,801.72
/app/episode/list/v3,30821,125,110,206,239,312,22,687,3.741%,52.08344,192.78,52.46
/app/episode/list/hide,16164,118,101,194,237,352,15,3210,0.000%,805.50157,399.70,807.62
/app/home/menu/module/more,15390,124,106,215,293,415,12,539,0.000%,766.93078,305.74,768.88
/app/favorite/totalList2,15717,122,109,202,242,325,17,412,0.000%,782.83608,354.09,780.25
/app/home/leadUpLook,15896,120,104,209,248,392,15,452,0.000%,791.27881,2022.36,772.45
/app/getHotWordNew,14849,130,113,206,243,311,43,426,0.000%,736.33839,1007.65,717.32
/app/home/card2,4227,469,365,693,869,3194,169,4869,0.000%,200.16100,5787.17,197.00
/app/myComics/everyoneWatching,15022,128,107,215,262,342,20,510,0.000%,748.36846,3258.28,762.31
/app/countryInfo,14547,131,111,232,323,392,10,1352,0.000%,723.80336,320.37,710.04
/app/serviceInfo,14987,127,112,213,268,370,11,382,0.000%,745.36231,597.08,731.21
/currentSystemTime,15146,126,106,217,294,405,10,593,0.000%,753.86989,324.85,741.04
/app/favorite/isFavorite,16482,117,103,164,214,294,21,3122,0.000%,821.67606,329.85,822.44
/app/shareLog,15719,122,110,190,224,291,20,411,0.000%,782.58488,311.95,799.45
/app/retention/title/info,15983,120,109,192,234,286,22,393,0.000%,796.32305,347.81,798.12
/app/author/info2,2021,991,1053,1395,1453,1654,51,1901,0.000%,98.24988,399.87,96.98
/app/genreList2,15729,121,106,208,249,328,10,3031,0.000%,753.84615,894.58,738.83
/app/eventReadLog,15397,124,111,220,255,368,13,427,0.000%,767.54736,305.99,809.09
/app/myFavorite2,16437,121,96,172,229,354,19,3174,0.000%,757.50035,301.88,758.75
/app/title/ranking2,3274,607,607,797,849,949,48,1153,0.000%,160.96362,10941.57,160.21
/app/home/recommend2,16447,121,102,162,214,312,20,3183,0.000%,751.72540,7400.60,740.46
/app/collection/list,15966,120,105,207,260,433,16,683,0.000%,793.10516,12837.87,781.20
/app/collection/info,15123,127,113,206,258,397,15,463,0.000%,752.61272,1068.19,753.02
/app/recommend/list3,601,3537,3994,4893,5002,5323,260,5503,0.000%,27.11849,114.84,25.94
/app/banner/meet/mytab,16383,118,102,195,246,361,15,3161,0.000%,782.93907,312.02,772.75
/app/member/info/v2,16033,119,107,186,225,349,21,1107,0.000%,798.69483,520.35,785.93
/app/setup/getEmailAlarmInfo,15577,123,103,199,236,469,14,3156,0.000%,776.67531,484.05,771.07
/app/member/phoneNumber/get,16105,118,104,193,236,344,12,3154,0.000%,799.05731,288.04,792.53
/app/episode/imageList/download,14594,133,121,198,242,312,24,522,0.000%,720.19345,4309.62,749.26
/app/episode/motiontoonList/download,16653,118,101,174,215,286,24,3276,0.000%,727.04650,327.35,761.57
/app/starScore/getMy,16303,118,103,165,206,276,23,3220,0.000%,811.86196,346.51,812.84
/app/starScore/set,14790,130,109,216,264,373,33,1099,0.000%,736.18716,313.60,741.89
/app/favorite/add,13282,145,121,256,320,432,29,1266,0.000%,658.37216,262.69,672.97
/app/favorite/totalRemove,11683,184,77,170,218,2614,24,15214,0.753%,524.18342,212.73,618.69
/app/setup/setAlarmInfo,15124,127,111,204,242,318,26,419,0.000%,753.29980,301.81,869.74
/app/member/nickname/validate,15880,120,106,210,248,383,15,423,0.000%,791.42786,336.33,800.32
/app/favorite/totalRemoveAll,15385,125,107,198,245,328,19,3112,0.000%,764.39608,306.22,758.88
