Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,32,32,32,32,32,32,32,0.000%,31.25000,22.55,9.89
获取加密encpw,1,6,6,6,6,6,6,6,0.000%,166.66667,0.00,0.00
/app/member/id/login,1,72,72,72,72,72,72,72,0.000%,13.88889,15.54,9.45
/app/episode/info/v3,76184,786,697,1129,1497,2292,143,8069,0.000%,252.76122,3514.50,256.15
/app/title/ranking2,43834,1368,1349,1840,1987,2267,66,5205,0.000%,145.79841,9913.28,145.79
/app/author/info2,23671,2539,2552,3301,3508,3904,54,6522,0.000%,78.56446,320.50,78.12
/app/setup/localPushInfo,156015,377,257,814,956,1395,21,3993,0.000%,519.79703,302.25,516.40
/app/client/version/latest,235309,243,167,422,602,3116,14,21011,0.047%,774.58803,574.81,770.91
/app/splashinfo,237357,241,166,397,614,3128,16,21036,0.361%,784.37120,549.05,788.11
/app/promotionInfo,238066,241,161,387,569,3119,19,21045,0.013%,789.74413,646.05,792.43
/app/home/menu/detail,206167,282,208,570,778,1272,24,9565,0.004%,686.58938,3365.29,683.61
/app/retention/episode/info,238014,242,170,385,600,3113,18,21011,0.016%,784.54343,311.76,797.87
/app/title/info2,230331,253,207,387,499,916,41,9543,0.000%,767.43489,1110.82,756.50
/app/title/recommend2,236663,247,186,358,474,3114,28,21184,0.010%,786.32635,1751.74,775.48
/app/episode/list/v3,467905,250,196,369,479,3088,29,21016,0.001%,65.26580,532.16,65.80
/app/episode/list/hide,234398,244,171,425,610,3084,13,21034,0.032%,775.90824,384.38,778.42
/app/favorite/totalList2,233233,249,191,375,550,3080,25,9436,0.000%,775.18238,1027.67,773.37
/app/getHotWordNew,236175,247,195,363,477,3058,40,21035,0.001%,786.68621,1075.18,767.18
/app/home/card2,73757,811,586,1457,1901,5519,152,11211,0.000%,244.67002,6936.67,241.71
/app/myComics/everyoneWatching,150469,393,352,686,791,1034,19,4534,0.000%,501.29932,2182.23,511.20
/currentSystemTime,228823,249,171,417,581,3140,10,21022,0.060%,760.40382,327.49,747.78
/app/favorite/isFavorite,231998,249,180,394,603,3118,19,21025,0.020%,766.38830,306.89,767.78
/app/shareLog,232047,249,179,386,588,3114,18,21027,0.001%,771.71762,306.42,789.23
/app/retention/title/info,235934,244,178,372,556,3136,19,9618,0.018%,778.25681,341.57,780.85
/app/eventReadLog,230009,249,175,385,602,3142,14,21177,0.040%,765.21216,304.54,807.94
/app/myFavorite2,234438,246,185,382,584,3101,22,21173,0.010%,781.12672,805.20,783.04
/app/home/recommend2,235520,247,177,385,563,3116,18,21010,0.016%,780.37143,7681.23,769.28
/app/collection/list,236789,246,171,349,512,3153,15,21147,0.015%,788.34015,12758.00,777.15
/app/collection/info,237376,246,171,348,465,3155,13,12468,0.000%,789.59781,1119.97,790.84
/app/banner/meet/mytab,241047,242,167,360,503,3133,14,21130,0.010%,793.95199,315.28,784.27
/app/member/info/v2,234285,250,177,344,477,3162,17,21164,0.017%,773.55992,503.07,761.81
/app/setup/getEmailAlarmInfo,235608,248,178,352,476,3156,14,21021,0.001%,784.63813,487.75,779.74
/app/member/phoneNumber/get,233917,248,168,387,585,3140,10,21036,0.010%,773.24866,277.72,767.60
/app/episode/imageList/download,237796,246,175,351,486,3144,18,21035,0.025%,766.29780,7247.20,798.73
/app/episode/motiontoonList/download,235226,249,187,358,464,3120,22,21016,0.003%,778.10563,497.91,814.98
/app/starScore/getMy,239849,244,176,347,471,3141,18,21029,0.003%,791.71150,335.85,793.44
/app/starScore/set,235714,248,194,365,472,3092,31,9586,0.002%,777.55420,329.82,784.80
/app/favorite/add,180613,324,237,663,847,1301,29,4742,0.000%,601.48996,238.78,615.57
/app/favorite/totalRemove,234624,249,185,373,517,3125,23,21064,0.002%,775.36534,309.42,916.22
/app/setup/setAlarmInfo,228706,255,193,410,558,1351,23,21014,0.010%,759.54050,303.16,877.92
/app/setup/getAlarmInfo,237221,246,170,349,493,3148,13,21029,0.004%,789.94146,520.69,838.12
/app/member/nickname/validate,229669,255,175,358,508,3155,14,21037,0.014%,758.15114,321.23,767.30
/app/favorite/totalRemoveAll,239356,244,169,343,500,3132,16,21034,0.016%,792.96077,316.65,787.89
/app/comment/titleEpisodeInfo2,236900,248,182,339,449,3152,19,21024,0.005%,774.81856,1339.28,848.89
/v1/ppl/statistics,234384,249,174,364,512,3142,14,21011,0.012%,773.46032,308.76,800.61
/v1/comment_reply,6233,9715,9292,15655,17745,21185,424,28608,0.000%,20.41150,30.03,18.78
/v1/comment/detail,163415,363,354,472,521,645,33,1145,0.000%,544.53697,5659.40,606.56
/v2/comment,266069,448,431,598,654,777,42,3987,0.000%,402.76870,2645.71,401.46
/v1/title/$titleno/episode/likeAndCount,236699,246,164,397,561,3127,13,21016,0.026%,785.32657,573.19,781.21
/v1/title/like/count,235022,247,166,383,551,3130,11,21026,0.011%,779.17574,565.14,778.71
/v1/title/$titleno/episode/$episodeno/like,478649,243,164,374,551,3140,13,21019,0.012%,720.54983,514.21,773.39
/app/ppl/info,238598,244,165,363,512,3142,13,21030,0.021%,780.17310,310.01,786.06
/app/countryInfo,233364,248,167,393,577,3143,10,21041,0.425%,768.16021,346.36,751.16
/app/home/menus,235109,248,174,359,490,3147,12,21133,0.019%,777.87814,1250.96,756.17
/app/home/leadUpLook,233206,250,177,374,521,3136,14,21050,0.018%,770.20837,1967.22,752.48
/app/client/version,235687,248,175,358,532,3135,16,21029,0.014%,771.81050,579.00,760.10
/app/genreList2,230719,251,171,412,590,3136,10,21028,0.385%,755.22509,899.69,738.08
/app/system/setting,238980,244,168,354,473,3153,11,21045,0.040%,791.15946,328.10,794.42
/app/serviceInfo,232428,250,171,401,592,3156,10,21027,0.019%,768.18180,614.36,754.25
/app/home/menu/module/more,237061,246,167,354,493,3150,11,21084,0.009%,782.50350,310.86,785.20
/app/home4,22130,2713,2612,3454,3782,5036,1005,10199,0.000%,73.45961,2229.89,72.12
/app/title/list2,14879,4030,3821,6221,7028,8763,281,12411,0.000%,49.24587,38942.99,47.82
