Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,110,110,110,110,110,110,110,0.000%,9.09091,6.56,2.88
获取加密encpw,1,7,7,7,7,7,7,7,0.000%,142.85714,0.00,0.00
/app/member/id/login,1,70,70,70,70,70,70,70,0.000%,14.28571,15.99,9.72
/app/author/info2,23743,2531,2549,3303,3545,3999,72,6708,0.000%,78.80604,321.52,78.36
/app/title/ranking2,43840,1367,1349,1842,1992,2292,51,5158,0.000%,145.86591,9917.78,145.86
/app/episode/info/v3,79145,757,670,1044,1393,1921,150,7847,0.000%,260.63604,3625.24,264.13
/app/setup/localPushInfo,142966,414,296,886,1026,1434,24,4009,0.000%,475.57365,276.70,472.46
/app/home/menu/detail,201686,288,209,598,799,1283,25,9512,0.006%,671.96412,3290.76,669.03
/app/title/info2,233613,249,206,395,502,859,37,21011,0.000%,772.04213,1118.56,761.04
/app/episode/list/v3,468503,249,193,374,488,3084,28,21026,0.007%,147.01431,1552.97,148.18
/app/favorite/totalList2,226930,124,104,227,285,414,16,3347,0.000%,756.26443,340.67,754.56
/app/getHotWordNew,233738,249,193,353,474,3109,34,21029,0.002%,774.31559,1058.15,755.10
/app/home/card2,70501,849,627,1494,1929,5803,154,11989,0.000%,233.89234,6666.64,231.06
/app/myComics/everyoneWatching,145108,408,378,694,795,1003,18,4201,0.000%,483.35982,2104.99,493.04
/app/shareLog,228990,123,104,221,285,409,19,9118,0.000%,763.08379,302.77,780.02
/app/collection/info,220453,127,108,228,290,429,14,9146,0.000%,734.59112,1041.61,735.80
/app/setup/getEmailAlarmInfo,221234,127,107,228,305,410,13,9257,0.000%,737.29675,458.15,732.75
/app/episode/motiontoonList/download,238017,245,180,343,484,3125,22,21172,0.008%,788.22972,644.85,825.07
/app/starScore/getMy,222847,127,106,227,299,432,19,3206,0.000%,742.18753,314.78,743.50
/app/starScore/set,238093,245,185,352,464,3123,31,21027,0.007%,779.82995,331.00,787.04
/app/favorite/add,179667,326,242,654,830,1183,31,4443,0.000%,598.58871,237.63,612.86
/app/favorite/totalRemove,220869,129,109,220,271,423,23,1261,0.000%,735.58269,293.26,869.28
/app/setup/getAlarmInfo,223223,125,106,233,304,410,13,1109,0.000%,743.91796,489.92,789.02
/app/comment/titleEpisodeInfo2,224972,126,105,221,282,429,19,9072,0.000%,749.66927,1293.63,821.43
/v1/comment_reply,6208,9767,9300,15848,17636,21538,1545,29709,0.000%,20.31041,29.97,18.69
/v1/comment/detail,153935,386,376,499,549,667,63,1183,0.000%,512.85853,5328.30,571.26
/v2/comment,222367,537,513,746,824,982,59,3595,0.000%,336.47209,2535.45,335.26
/app/home4,21831,2752,2664,3483,3808,5068,750,7276,0.000%,72.39836,2247.46,71.07
/app/title/list2,14607,4118,3977,6181,6909,8479,253,13386,0.000%,48.20060,38114.71,46.80
/app/home/menu/module/more,221131,126,107,234,321,417,11,1347,0.000%,736.80370,292.28,739.46
/app/title/recommend2,223488,127,108,208,254,392,29,3283,0.000%,744.67950,1993.59,734.52
/app/member/phoneNumber/get,215714,130,108,241,323,413,10,1127,0.000%,718.44557,257.71,713.32
/app/setup/setAlarmInfo,219783,129,108,221,281,447,24,3241,0.000%,732.22680,291.97,846.24
/app/myFavorite2,224553,126,107,218,274,401,21,3260,0.000%,748.33289,771.21,750.30
/app/banner/meet/mytab,221594,127,106,233,314,447,14,3108,0.000%,738.12260,292.86,729.25
/v1/title/like/count,219509,127,104,247,334,448,11,773,0.000%,731.09473,529.45,730.36
/v1/title/$titleno/episode/$episodeno/like,446496,125,104,240,318,439,12,3259,0.000%,676.03791,482.01,726.01
/v1/ppl/statistics,219009,128,108,232,312,427,14,3310,0.000%,729.54121,290.90,754.91
/app/promotionInfo,225246,125,105,229,293,418,19,3288,0.000%,750.06743,613.28,752.77
/app/member/nickname/validate,219963,127,108,235,303,404,13,3122,0.000%,732.75325,310.07,741.76
/app/client/version,223450,126,106,233,308,425,16,3166,0.000%,744.26025,557.96,733.13
/app/collection/list,226413,124,108,200,289,411,15,3158,0.000%,754.54651,12212.49,744.00
/app/retention/episode/info,225315,125,105,220,275,418,18,3226,0.000%,750.45964,297.77,763.42
/app/favorite/totalRemoveAll,223535,126,106,234,301,421,16,3144,0.000%,744.88823,296.97,740.30
/app/home/recommend2,227358,124,106,201,276,431,17,3240,0.000%,757.62009,7456.59,747.03
/app/member/info/v2,225848,125,106,230,296,443,17,3098,0.000%,752.38276,488.83,741.13
/app/retention/title/info,226638,124,104,221,286,429,19,9167,0.000%,754.91143,349.83,757.63
/app/home/leadUpLook,221880,126,106,234,315,414,14,3199,0.000%,739.20576,1887.94,722.38
/app/serviceInfo,213920,130,108,250,337,415,10,662,0.000%,712.90745,569.63,700.16
/app/home/menus,224776,124,106,229,290,423,12,3092,0.000%,748.98370,1204.07,728.28
/app/favorite/isFavorite,224229,126,107,227,287,411,19,3156,0.000%,747.15355,298.61,749.11
/app/ppl/info,230436,123,103,217,277,396,14,3396,0.000%,767.59803,304.56,774.05
/app/episode/imageList/download,226410,126,106,220,278,416,17,9069,0.000%,754.50131,1380.79,785.96
/v1/title/$titleno/episode/likeAndCount,229679,124,101,220,288,431,13,9118,0.000%,764.92863,557.65,761.25
/app/episode/list/hide,228740,125,106,218,279,395,14,3337,0.000%,762.15418,376.83,765.64
/app/system/setting,230503,124,105,221,279,399,11,9146,0.000%,768.08474,317.41,771.61
/app/eventReadLog,228418,125,105,225,286,406,14,9241,0.000%,760.93424,301.91,803.81
/app/client/version/latest,229758,124,105,220,279,403,13,9078,0.000%,765.34722,567.17,762.13
/currentSystemTime,223514,127,107,232,296,410,10,3246,0.000%,744.88776,319.56,733.02
/app/splashinfo,229651,124,105,215,268,404,16,4062,0.000%,765.19470,491.60,771.69
/app/genreList2,224046,127,105,235,297,397,10,3302,0.000%,746.66818,884.70,732.59
/app/countryInfo,225170,126,105,230,287,409,10,3301,0.000%,750.45160,330.68,737.03
/v1/comment/ownall,303,30231,30352,32352,33297,42043,9805,45851,0.000%,.97881,8.59,0.99
TOTAL,12133565,196,112,351,501,1414,7,45851,0.001%,533.71801,1855.90,541.21
