Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/app/rsakey/get,1,42,42,42,42,42,42,42,0.000%,23.80952,17.18,7.53
获取加密encpw,1,8,8,8,8,8,8,8,0.000%,125.00000,0.00,0.00
/app/member/id/login,1,74,74,74,74,74,74,74,0.000%,13.51351,15.12,9.20
/app/author/info2,26156,1147,1149,1492,1588,1748,89,2298,0.000%,87.00714,356.31,86.59
/app/title/ranking2,51961,575,568,747,798,907,42,1598,0.000%,173.05220,11762.13,173.12
/app/episode/info/v3,79901,373,348,504,577,766,105,1687,0.000%,266.10427,3225.69,269.60
/app/setup/localPushInfo,152346,190,145,389,449,638,22,1323,0.000%,507.53747,295.13,504.29
/app/title/info2,212360,135,114,216,268,388,37,1114,0.000%,707.61428,908.96,697.72
/app/favorite/totalList2,226800,125,106,211,262,400,23,3283,0.000%,755.23721,1001.06,753.53
/app/getHotWordNew,218273,131,111,211,254,367,40,1162,0.000%,727.28818,993.80,709.31
/app/home/card2,69857,427,329,628,797,2913,156,5776,0.000%,231.87275,6662.74,229.11
/app/myComics/everyoneWatching,209607,135,111,242,304,450,18,3162,0.000%,698.58521,3042.91,712.64
/app/shareLog,226517,125,104,219,276,413,19,9251,0.000%,753.26390,298.88,770.79
/app/collection/info,221509,126,107,233,309,417,14,1128,0.000%,738.44210,1047.33,739.66
/app/setup/getEmailAlarmInfo,221519,126,107,231,306,411,13,1135,0.000%,738.22933,458.73,733.68
/app/starScore/getMy,225328,125,106,226,287,420,19,3242,0.000%,750.59544,318.35,752.33
/app/favorite/add,206876,138,118,231,292,438,27,1163,0.000%,689.31324,273.52,705.41
/app/favorite/totalRemove,220617,129,107,220,280,439,23,3205,0.000%,735.19395,293.15,868.82
/app/setup/getAlarmInfo,223453,125,106,228,299,413,12,3111,0.000%,744.82347,490.41,789.98
/app/comment/titleEpisodeInfo2,224374,126,106,223,284,417,18,3287,0.000%,747.15870,1289.35,818.68
/v1/comment_reply,6354,4743,4260,8539,9885,12613,949,19206,0.000%,20.99594,30.44,19.38
/v1/comment/detail,141086,208,190,327,393,534,28,887,0.000%,470.28980,4718.77,523.90
/v2/comment,251069,234,210,389,459,593,40,1105,0.000%,380.21977,2470.09,378.99
/app/home4,22409,1337,1255,1837,2067,2536,622,5844,0.000%,74.49033,2310.88,73.19
